Authors,Title,keywords,Abstract,Year of Publication,Publication Venue,Article Link,Bib,Source
"Grewal, Rajdeep and Gupta, Sachin and Hamilton, Rebecca","Marketing Insights from Multimedia Data: Text, Image, Audio, and Video",,,2021,Journal of Marketing Research,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119022626&doi=10.1177%2f00222437211054601&partnerID=40&md5=27ec20651e3ee78b550d69b7f3b7138e,"{'source': 'Scopus', 'publication_stage': 'Final', 'type': 'Editorial', 'language': 'English', 'publisher': 'SAGE Publications Ltd', 'affiliations': 'Kenan-Flagler Business School, University of North Carolina at Chapel Hill, United States; S.C. Johnson College of Business, Cornell University, United States; McDonough School of Business, Georgetown University, United States', 'url': 'https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119022626&doi=10.1177%2f00222437211054601&partnerID=40&md5=27ec20651e3ee78b550d69b7f3b7138e', 'doi': '10.1177/00222437211054601', 'pages': '1025 – 1033', 'number': '6', 'volume': '58', 'journal': 'Journal of Marketing Research', 'year': '2021', 'title': 'Marketing Insights from Multimedia Data: Text, Image, Audio, and Video', 'author': 'Grewal, Rajdeep and Gupta, Sachin and Hamilton, Rebecca', 'ENTRYTYPE': 'article', 'ID': 'Grewal20211025'}",Scopus
,"7th Annual Privacy Forum, APF 2019",,"The proceedings contain 12 papers. The special focus in this conference is on Annual Privacy Forum. The topics include: A Data Protection by Design Model for Privacy Management in Electronic Health Records; security Analysis of Subject Access Request Procedures: How to Authenticate Data Subjects Safely When They Request for Their Data; towards Transparency in Email Tracking; sharing Cyber Threat Intelligence Under the General Data Protection Regulation; fight to Be Forgotten: Exploring the Efficacy of Data Erasure in Popular Operating Systems; privacy Beyond Confidentiality, Data Science Beyond Spying: From Movement Data and Data Privacy Towards a Wider Fundamental Rights Discourse; making Machine Learning Forget; a Multilateral Privacy Impact Analysis Method for Android Apps; re-using Personal Data for Statistical and Research Purposes in the Context of Big Data and Artificial Intelligence; ioT Security and Privacy Labels.",2019,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067814936&partnerID=40&md5=8745e5efac7a62ccfbbedd526bf6e7d2,"{'source': 'Scopus', 'publication_stage': 'Final', 'type': 'Conference review', 'language': 'English', 'publisher': 'Springer Verlag', 'abstract': 'The proceedings contain 12 papers. The special focus in this conference is on Annual Privacy Forum. The topics include: A Data Protection by Design Model for Privacy Management in Electronic Health Records; security Analysis of Subject Access Request Procedures: How to Authenticate Data Subjects Safely When They Request for Their Data; towards Transparency in Email Tracking; sharing Cyber Threat Intelligence Under the General Data Protection Regulation; fight to Be Forgotten: Exploring the Efficacy of Data Erasure in Popular Operating Systems; privacy Beyond Confidentiality, Data Science Beyond Spying: From Movement Data and Data Privacy Towards a Wider Fundamental Rights Discourse; making Machine Learning Forget; a Multilateral Privacy Impact Analysis Method for Android Apps; re-using Personal Data for Statistical and Research Purposes in the Context of Big Data and Artificial Intelligence; ioT Security and Privacy Labels.', 'url': 'https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067814936&partnerID=40&md5=8745e5efac7a62ccfbbedd526bf6e7d2', 'volume': '11498 LNCS', 'journal': 'Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)', 'year': '2019', 'title': '7th Annual Privacy Forum, APF 2019', 'ENTRYTYPE': 'article', 'ID': '2019'}",Scopus
"Pikulík, Tomáš and Štarchoň, Peter",GDPR: The Battle for European Consumer Data,,"Implementation of the GDPR changed the way how personal data of EU customers are processed. The purpose of this chapter is to explore the links between the rights of customers as a data subject and related aspects of customer satisfaction. Entities in modern economy (encompassing not only goods and services but also intellectual property) generate and process huge quantities of customer data. Information and communication technology (ICT) infrastructure became a basis for the digital economy and society in the EU (settled by Eurostat as ISOC) that definitely replaced the previous era of the information economy that was based on the effective acquisition, dissemination, and use of information. Data-driven marketing puts data at the center of additional value creation and brings new insights and perspectives, included in the results of this research. The impact of GDPR on customer-centric ICT, stronger consumer awareness of data protection rights, creates new pathways to customer centricity and the legal and technical aspects of data processing within the digital economy ecosystem. © 2021, IGI Global.",2021,Research Anthology on Privatizing and Securing Data,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134898712&doi=10.4018%2f978-1-7998-8954-0.ch085&partnerID=40&md5=3ead05d6975b3abb0ef3f21b0a611c0e,"{'source': 'Scopus', 'publication_stage': 'Final', 'type': 'Book chapter', 'language': 'English', 'publisher': 'IGI Global', 'abstract': 'Implementation of the GDPR changed the way how personal data of EU customers are processed. The purpose of this chapter is to explore the links between the rights of customers as a data subject and related aspects of customer satisfaction. Entities in modern economy (encompassing not only goods and services but also intellectual property) generate and process huge quantities of customer data. Information and communication technology (ICT) infrastructure became a basis for the digital economy and society in the EU (settled by Eurostat as ISOC) that definitely replaced the previous era of the information economy that was based on the effective acquisition, dissemination, and use of information. Data-driven marketing puts data at the center of additional value creation and brings new insights and perspectives, included in the results of this research. The impact of GDPR on customer-centric ICT, stronger consumer awareness of data protection rights, creates new pathways to customer centricity and the legal and technical aspects of data processing within the digital economy ecosystem. © 2021, IGI Global.', 'affiliations': 'Faculty of Management, Comenius University, Bratislava, Slovakia', 'url': 'https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134898712&doi=10.4018%2f978-1-7998-8954-0.ch085&partnerID=40&md5=3ead05d6975b3abb0ef3f21b0a611c0e', 'doi': '10.4018/978-1-7998-8954-0.ch085', 'pages': '1769 – 1789', 'journal': 'Research Anthology on Privatizing and Securing Data', 'year': '2021', 'title': 'GDPR: The Battle for European Consumer Data', 'author': 'Pikulík, Tomáš and Štarchoň, Peter', 'ENTRYTYPE': 'book', 'ID': 'Pikulík20211769'}",Scopus
"Fang, Lujun and LeFevre, Kristen",Privacy wizards for social networking sites,,"Privacy is an enormous problem in online social networking sites. While sites such as Facebook allow users fine-grained control over who can see their profiles, it is difficult for average users to specify this kind of detailed policy. In this paper, we propose a template for the design of a social networking privacy wizard. The intuition for the design comes from the observation that real users conceive their privacy preferences (which friends should be able to see which information) based on an implicit set of rules. Thus, with a limited amount of user input, it is usually possible to build a machine learning model that concisely describes a particular user's preferences, and then use this model to configure the user's privacy settings automatically. As an instance of this general framework, we have built a wizard based on an active learning paradigm called uncertainty sampling. The wizard iteratively asks the user to assign privacy ""labels"" to selected (""informative"") friends, and it uses this input to construct a classifier, which can in turn be used to automatically assign privileges to the rest of the user's (unlabeled) friends. To evaluate our approach, we collected detailed privacy preference data from 45 real Facebook users. Our study revealed two important things. First, real users tend to conceive their privacy preferences in terms of communities, which can easily be extracted from a social network graph using existing techniques. Second, our active learning wizard, using communities as features, is able to recommend high-accuracy privacy settings using less user input than existing policy-specification tools. © 2010 International World Wide Web Conference Committee (IW3C2).",2010,"Proceedings of the 19th International Conference on World Wide Web, WWW '10",https://www.scopus.com/inward/record.uri?eid=2-s2.0-77954614450&doi=10.1145%2f1772690.1772727&partnerID=40&md5=1f6972edb3b34252a5c5a27254c32d58,"{'source': 'Scopus', 'publication_stage': 'Final', 'type': 'Conference paper', 'language': 'English', 'abstract': 'Privacy is an enormous problem in online social networking sites. While sites such as Facebook allow users fine-grained control over who can see their profiles, it is difficult for average users to specify this kind of detailed policy. In this paper, we propose a template for the design of a social networking privacy wizard. The intuition for the design comes from the observation that real users conceive their privacy preferences (which friends should be able to see which information) based on an implicit set of rules. Thus, with a limited amount of user input, it is usually possible to build a machine learning model that concisely describes a particular user\'s preferences, and then use this model to configure the user\'s privacy settings automatically. As an instance of this general framework, we have built a wizard based on an active learning paradigm called uncertainty sampling. The wizard iteratively asks the user to assign privacy ""labels"" to selected (""informative"") friends, and it uses this input to construct a classifier, which can in turn be used to automatically assign privileges to the rest of the user\'s (unlabeled) friends. To evaluate our approach, we collected detailed privacy preference data from 45 real Facebook users. Our study revealed two important things. First, real users tend to conceive their privacy preferences in terms of communities, which can easily be extracted from a social network graph using existing techniques. Second, our active learning wizard, using communities as features, is able to recommend high-accuracy privacy settings using less user input than existing policy-specification tools. © 2010 International World Wide Web Conference Committee (IW3C2).', 'affiliations': 'Electrical Engineering and Computer Science, University of Michigan, Ann Arbor, MI 48109, 2260 Hayward Ave., United States', 'url': 'https://www.scopus.com/inward/record.uri?eid=2-s2.0-77954614450&doi=10.1145%2f1772690.1772727&partnerID=40&md5=1f6972edb3b34252a5c5a27254c32d58', 'doi': '10.1145/1772690.1772727', 'pages': '351 – 360', 'journal': ""Proceedings of the 19th International Conference on World Wide Web, WWW '10"", 'year': '2010', 'title': 'Privacy wizards for social networking sites', 'author': 'Fang, Lujun and LeFevre, Kristen', 'ENTRYTYPE': 'conference', 'ID': 'Fang2010351'}",Scopus
"Jaradat, Shatha and Dokoohaki, Nima and Matskin, Mihhail and Ferrari, Elena",Trust and privacy correlations in social networks: A deep learning framework,,"Online Social Networks (OSNs) remain the focal point of Internet usage. Since the beginning, networking sites tried best to have right privacy mechanisms in place for users, enabling them to share the right content with the right audience. With all these efforts, privacy customizations remain hard for users across the sites. Existing research that address this problem mainly focus on semi-supervised strategies that introduce extra complexity by requiring the user to manually specify initial privacy preferences for their friends. In this work, we suggest an adaptive solution that can dynamically generate privacy labels for users in OSNs. To this end, we introduce a deep reinforcement learning framework that targets two key problems in OSNs like Facebook: the exposure of users' interactions through the network to less trusted direct friends, and the possibility of propagating user updates through direct friends' interactions to indirect friends. By implementing this framework, we aim at understanding how social trust and privacy could be correlated, specifically in a dynamic fashion. We report the ranked dependence between the generated privacy labels and the estimated user trust values, which indicate the ability of the framework to identify the highly trusted users and share with them higher percentages of data. © 2016 IEEE.",2016,"Proceedings of the 2016 IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining, ASONAM 2016",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006765626&doi=10.1109%2fASONAM.2016.7752236&partnerID=40&md5=fb08bc9dfc0d971eb728bd1856cff9d7,"{'source': 'Scopus', 'publication_stage': 'Final', 'type': 'Conference paper', 'language': 'English', 'publisher': 'Institute of Electrical and Electronics Engineers Inc.', 'abstract': ""Online Social Networks (OSNs) remain the focal point of Internet usage. Since the beginning, networking sites tried best to have right privacy mechanisms in place for users, enabling them to share the right content with the right audience. With all these efforts, privacy customizations remain hard for users across the sites. Existing research that address this problem mainly focus on semi-supervised strategies that introduce extra complexity by requiring the user to manually specify initial privacy preferences for their friends. In this work, we suggest an adaptive solution that can dynamically generate privacy labels for users in OSNs. To this end, we introduce a deep reinforcement learning framework that targets two key problems in OSNs like Facebook: the exposure of users' interactions through the network to less trusted direct friends, and the possibility of propagating user updates through direct friends' interactions to indirect friends. By implementing this framework, we aim at understanding how social trust and privacy could be correlated, specifically in a dynamic fashion. We report the ranked dependence between the generated privacy labels and the estimated user trust values, which indicate the ability of the framework to identify the highly trusted users and share with them higher percentages of data. © 2016 IEEE."", 'affiliations': 'KTH, Royal Institute of Technology, Sweden; University of Insubria, Italy', 'url': 'https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006765626&doi=10.1109%2fASONAM.2016.7752236&partnerID=40&md5=fb08bc9dfc0d971eb728bd1856cff9d7', 'doi': '10.1109/ASONAM.2016.7752236', 'pages': '203 – 206', 'journal': 'Proceedings of the 2016 IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining, ASONAM 2016', 'year': '2016', 'title': 'Trust and privacy correlations in social networks: A deep learning framework', 'author': 'Jaradat, Shatha and Dokoohaki, Nima and Matskin, Mihhail and Ferrari, Elena', 'ENTRYTYPE': 'conference', 'ID': 'Jaradat2016203'}",Scopus
"Seymour, William and Kraemer, Martin J. and Binns, Reuben and Van Kleek, Max",Informing the Design of Privacy-Empowering Tools for the Connected Home,,"Connected devices in the home represent a potentially grave new privacy threat due to their unfettered access to the most personal spaces in people's lives. Prior work has shown that despite concerns about such devices, people often lack sufficient awareness, understanding, or means of taking effective action. To explore the potential for new tools that support such needs directly we developed Aretha, a privacy assistant technology probe that combines a network disaggregator, personal tutor, and firewall, to empower end-users with both the knowledge and mechanisms to control disclosures from their homes. We deployed Aretha in three households over six weeks, with the aim of understanding how this combination of capabilities might enable users to gain awareness of data disclosures by their devices, form educated privacy preferences, and to block unwanted data flows. The probe, with its novel affordances-and its limitations-prompted users to co-adapt, finding new control mechanisms and suggesting new approaches to address the challenge of regaining privacy in the connected home. © 2020 ACM.",2020,Conference on Human Factors in Computing Systems - Proceedings,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090495795&doi=10.1145%2f3313831.3376264&partnerID=40&md5=86b70233a987de90712165b5dad031c2,"{'note': 'All Open Access, Green Open Access', 'source': 'Scopus', 'publication_stage': 'Final', 'type': 'Conference paper', 'language': 'English', 'publisher': 'Association for Computing Machinery', 'abstract': ""Connected devices in the home represent a potentially grave new privacy threat due to their unfettered access to the most personal spaces in people's lives. Prior work has shown that despite concerns about such devices, people often lack sufficient awareness, understanding, or means of taking effective action. To explore the potential for new tools that support such needs directly we developed Aretha, a privacy assistant technology probe that combines a network disaggregator, personal tutor, and firewall, to empower end-users with both the knowledge and mechanisms to control disclosures from their homes. We deployed Aretha in three households over six weeks, with the aim of understanding how this combination of capabilities might enable users to gain awareness of data disclosures by their devices, form educated privacy preferences, and to block unwanted data flows. The probe, with its novel affordances-and its limitations-prompted users to co-adapt, finding new control mechanisms and suggesting new approaches to address the challenge of regaining privacy in the connected home. © 2020 ACM."", 'affiliations': 'University of Oxford, Oxford, United Kingdom', 'url': 'https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090495795&doi=10.1145%2f3313831.3376264&partnerID=40&md5=86b70233a987de90712165b5dad031c2', 'doi': '10.1145/3313831.3376264', 'journal': 'Conference on Human Factors in Computing Systems - Proceedings', 'year': '2020', 'title': 'Informing the Design of Privacy-Empowering Tools for the Connected Home', 'author': 'Seymour, William and Kraemer, Martin J. and Binns, Reuben and Van Kleek, Max', 'ENTRYTYPE': 'conference', 'ID': 'Seymour2020'}",Scopus
"Kelley, Patrick Gage and Bresee, Joanna and Cranor, Lorrie Faith and Reeder, Robert W.","A ""nutrition label"" for privacy",,"We used an iterative design process to develop a privacy label that presents to consumers the ways organizations collect, use, and share personal information. Many surveys have shown that consumers are concerned about online privacy, yet current mechanisms to present website privacy policies have not been successful. This research addresses the present gap in the communication and understanding of privacy policies, by creating an information design that improves the visual presentation and comprehensibility of privacy policies. Drawing from nutrition, warning, and energy labeling, as well as from the effort towards creating a standardized banking privacy notification, we present our process for constructing and refining a label tuned to privacy. This paper describes our design methodology; findings from two focus groups; and accuracy, timing, and likeability results from a laboratory study with 24 participants. Our study results demonstrate that compared to existing natural language privacy policies, the proposed privacy label allows participants to find information more quickly and accurately, and provides a more enjoyable information seeking experience.",2009,SOUPS 2009 - Proceedings of the 5th Symposium On Usable Privacy and Security,https://www.scopus.com/inward/record.uri?eid=2-s2.0-70350731253&doi=10.1145%2f1572532.1572538&partnerID=40&md5=f96efa164a1c3404085402df590a0fdb,"{'source': 'Scopus', 'publication_stage': 'Final', 'type': 'Conference paper', 'language': 'English', 'abstract': 'We used an iterative design process to develop a privacy label that presents to consumers the ways organizations collect, use, and share personal information. Many surveys have shown that consumers are concerned about online privacy, yet current mechanisms to present website privacy policies have not been successful. This research addresses the present gap in the communication and understanding of privacy policies, by creating an information design that improves the visual presentation and comprehensibility of privacy policies. Drawing from nutrition, warning, and energy labeling, as well as from the effort towards creating a standardized banking privacy notification, we present our process for constructing and refining a label tuned to privacy. This paper describes our design methodology; findings from two focus groups; and accuracy, timing, and likeability results from a laboratory study with 24 participants. Our study results demonstrate that compared to existing natural language privacy policies, the proposed privacy label allows participants to find information more quickly and accurately, and provides a more enjoyable information seeking experience.', 'affiliations': 'Carnegie Mellon University, School of Computer Science, United States; Microsoft, Trust User Experience (TUX)', 'url': 'https://www.scopus.com/inward/record.uri?eid=2-s2.0-70350731253&doi=10.1145%2f1572532.1572538&partnerID=40&md5=f96efa164a1c3404085402df590a0fdb', 'doi': '10.1145/1572532.1572538', 'journal': 'SOUPS 2009 - Proceedings of the 5th Symposium On Usable Privacy and Security', 'year': '2009', 'title': 'A ""nutrition label"" for privacy', 'author': 'Kelley, Patrick Gage and Bresee, Joanna and Cranor, Lorrie Faith and Reeder, Robert W.', 'ENTRYTYPE': 'conference', 'ID': 'Kelley2009'}",Scopus
"Fox, Grace and Lynn, Theo",Examining Privacy Disclosure and Trust in the Consumer Internet of Things: An Integrated Research Framework,,"The Internet of Things (IoT) and the various applications it encompasses offer great potential for personalisation and convenience in all aspects of individuals’ lives from healthcare to transport and smart homes. However, IoT devices collect and share large volumes of personal data leading to concerns for the security and privacy of the data. While computer science research has explored technical solutions to security issues, it is important to explore privacy from the perspective of consumers. To foster a sense of privacy and trust among consumers, IoT service providers must communicate with consumers regarding their data practices in a transparent manner. To do this, we propose that IoT service providers refine adopt transparent privacy disclosure approaches. We present a framework for testing the effectiveness of privacy disclosures in building consumers’ perceptions of privacy and trust and empowering consumers to adopt IoT devices whilst retaining some level of privacy. We illustrate this framework with reference to a privacy label approach. © 2020, The Author(s).",2020,Palgrave Studies in Digital Business and Enabling Technologies,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109816353&doi=10.1007%2f978-3-030-41110-7_7&partnerID=40&md5=6dbd4a3bf0c0281097baf3fb177204f6,"{'note': 'All Open Access, Gold Open Access', 'source': 'Scopus', 'publication_stage': 'Final', 'type': 'Book chapter', 'language': 'English', 'publisher': 'Palgrave Macmillan', 'abstract': 'The Internet of Things (IoT) and the various applications it encompasses offer great potential for personalisation and convenience in all aspects of individuals’ lives from healthcare to transport and smart homes. However, IoT devices collect and share large volumes of personal data leading to concerns for the security and privacy of the data. While computer science research has explored technical solutions to security issues, it is important to explore privacy from the perspective of consumers. To foster a sense of privacy and trust among consumers, IoT service providers must communicate with consumers regarding their data practices in a transparent manner. To do this, we propose that IoT service providers refine adopt transparent privacy disclosure approaches. We present a framework for testing the effectiveness of privacy disclosures in building consumers’ perceptions of privacy and trust and empowering consumers to adopt IoT devices whilst retaining some level of privacy. We illustrate this framework with reference to a privacy label approach. © 2020, The Author(s).', 'affiliations': 'Irish Institute of Digital Business, DCU Business School, Dublin, Ireland', 'url': 'https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109816353&doi=10.1007%2f978-3-030-41110-7_7&partnerID=40&md5=6dbd4a3bf0c0281097baf3fb177204f6', 'doi': '10.1007/978-3-030-41110-7_7', 'pages': '123 – 140', 'journal': 'Palgrave Studies in Digital Business and Enabling Technologies', 'year': '2020', 'title': 'Examining Privacy Disclosure and Trust in the Consumer Internet of Things: An Integrated Research Framework', 'author': 'Fox, Grace and Lynn, Theo', 'ENTRYTYPE': 'article', 'ID': 'Fox2020123'}",Scopus
"Lie, David and Austin, Lisa M. and Sun, Peter Yi Ping and Qiu, Wenjun","AUTOMATING ACCOUNTABILITY? PRIVACY POLICIES, DATA TRANSPARENCY, AND THE THIRD PARTY PROBLEM",,"We have a data transparency problem. Currently, one of the main mechanisms we have to understand data flows is through the self-reporting that organizations provide through privacy policies. These suffer from many well-known problems, problems that are becoming more acute with the increasing complexity of the data ecosystem and the role of third parties – the affiliates, partners, processors, ad agencies, analytic services, and data brokers involved in the contemporary data practices of organizations. In this article, we argue that automating privacy policy analysis can improve the usability of privacy policies as a transparency mechanism. Our argument has five parts. First, we claim that we need to shift from thinking about privacy policies as a transparency mechanism that enhances consumer choice and see them as a transparency mechanism that enhances meaningful accountability. Second, we discuss a research tool that we prototyped, called AppTrans (for Application Transparency), which can detect inconsistencies between the declarations in a privacy policy and the actions the mobile application can potentially take if it is used. We used AppTrans to test seven hundred applications and found that 59.5 per cent were collecting data in ways that were not declared in their policies. The vast majority of the discrepancies were due to third party data collection such as advertising and analytics. Third, we outline the follow-on research we did to extend AppTrans to analyse the information sharing of mobile applications with third parties, with mixed results. Fourth, we situate our findings in relation to the third party issues that came to light in the recent Cambridge Analytica scandal and the calls from regulators for enhanced technical safeguards in managing these third party relationships. Fifth, we discuss some of the limitations of privacy policy automation as a strategy for enhanced data transparency and the policy implications of these limitations. © UNIVERSITY OF TORONTO PRESS.",2021,University of Toronto Law Journal,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126561713&doi=10.3138%2futlj-2020-0136&partnerID=40&md5=a9d84d64d1972af647da9059c407f0db,"{'source': 'Scopus', 'publication_stage': 'Final', 'type': 'Article', 'language': 'English', 'publisher': 'University of Toronto Press', 'abstract': 'We have a data transparency problem. Currently, one of the main mechanisms we have to understand data flows is through the self-reporting that organizations provide through privacy policies. These suffer from many well-known problems, problems that are becoming more acute with the increasing complexity of the data ecosystem and the role of third parties – the affiliates, partners, processors, ad agencies, analytic services, and data brokers involved in the contemporary data practices of organizations. In this article, we argue that automating privacy policy analysis can improve the usability of privacy policies as a transparency mechanism. Our argument has five parts. First, we claim that we need to shift from thinking about privacy policies as a transparency mechanism that enhances consumer choice and see them as a transparency mechanism that enhances meaningful accountability. Second, we discuss a research tool that we prototyped, called AppTrans (for Application Transparency), which can detect inconsistencies between the declarations in a privacy policy and the actions the mobile application can potentially take if it is used. We used AppTrans to test seven hundred applications and found that 59.5 per cent were collecting data in ways that were not declared in their policies. The vast majority of the discrepancies were due to third party data collection such as advertising and analytics. Third, we outline the follow-on research we did to extend AppTrans to analyse the information sharing of mobile applications with third parties, with mixed results. Fourth, we situate our findings in relation to the third party issues that came to light in the recent Cambridge Analytica scandal and the calls from regulators for enhanced technical safeguards in managing these third party relationships. Fifth, we discuss some of the limitations of privacy policy automation as a strategy for enhanced data transparency and the policy implications of these limitations. © UNIVERSITY OF TORONTO PRESS.', 'affiliations': 'Department of Electrical and Computer Engineering, University of Toronto, Canada; Faculty of Law, University of Toronto, Canada; Bloomberg, NY, United States', 'url': 'https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126561713&doi=10.3138%2futlj-2020-0136&partnerID=40&md5=a9d84d64d1972af647da9059c407f0db', 'doi': '10.3138/utlj-2020-0136', 'pages': '155 – 188', 'number': '2', 'volume': '72', 'journal': 'University of Toronto Law Journal', 'year': '2021', 'title': 'AUTOMATING ACCOUNTABILITY? PRIVACY POLICIES, DATA TRANSPARENCY, AND THE THIRD PARTY PROBLEM', 'author': 'Lie, David and Austin, Lisa M. and Sun, Peter Yi Ping and Qiu, Wenjun', 'ENTRYTYPE': 'article', 'ID': 'Lie2021155'}",Scopus
"Ruff, Christopher and Horch, Andrea and Benthien, Benedict and Loh, Wulf and Orlowski, Alexander",DAMA - A transparent meta-assistant for data self-determination in smart environments,,"Global sales of AI-based smart voice assistants and other smart devices are increasing every year. Smart devices are becoming ubiquitous, including living and workspaces. These spaces often have very high privacy requirements, like living rooms, bedrooms or meeting rooms in office environments. Users of smart devices have security and privacy concerns regarding personal data collection, data storage and the use of such data by the devices and the providers. These concerns are aggravated by a lack of transparency by the device manufacturers. As a result, users have limited possibilities to make an informed decision due to missing information or interfaces. While this leads to limited trust regarding the security and privacy of smart devices, for most users, the practical benefit dominates. The project DAMA wants to address user's security and privacy concerns by creating transparency and regulating the smart devices in connection with the respective context (e.g. when users are alone at home or when they have visitors). For this purpose, the project is developing a “meta-assistant”, an assistant that regulates other AI-based assistants and other smart devices. It uses artificial intelligence (AI) for context detection and device regulation. The regulation processes are based on established ethical guidelines, which are adjusted to the project context. © 2021 Gesellschaft fur Informatik (GI). All rights reserved.",2021,"Lecture Notes in Informatics (LNI), Proceedings - Series of the Gesellschaft fur Informatik (GI)",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120530136&partnerID=40&md5=e642bd016229f9b401c975aea44a980b,"{'source': 'Scopus', 'publication_stage': 'Final', 'type': 'Conference paper', 'language': 'English', 'publisher': 'Gesellschaft fur Informatik (GI)', 'abstract': ""Global sales of AI-based smart voice assistants and other smart devices are increasing every year. Smart devices are becoming ubiquitous, including living and workspaces. These spaces often have very high privacy requirements, like living rooms, bedrooms or meeting rooms in office environments. Users of smart devices have security and privacy concerns regarding personal data collection, data storage and the use of such data by the devices and the providers. These concerns are aggravated by a lack of transparency by the device manufacturers. As a result, users have limited possibilities to make an informed decision due to missing information or interfaces. While this leads to limited trust regarding the security and privacy of smart devices, for most users, the practical benefit dominates. The project DAMA wants to address user's security and privacy concerns by creating transparency and regulating the smart devices in connection with the respective context (e.g. when users are alone at home or when they have visitors). For this purpose, the project is developing a “meta-assistant”, an assistant that regulates other AI-based assistants and other smart devices. It uses artificial intelligence (AI) for context detection and device regulation. The regulation processes are based on established ethical guidelines, which are adjusted to the project context. © 2021 Gesellschaft fur Informatik (GI). All rights reserved."", 'affiliations': 'Fraunhofer IAO, Identity Management, Nobelstr. 12, Stuttgart, 70569, Germany; Internationales Zentrum für Ethik in den Wissenschaften (IZEW), Wilhelmstr. 19, Tübingen, 72074, Germany', 'url': 'https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120530136&partnerID=40&md5=e642bd016229f9b401c975aea44a980b', 'pages': '119 – 130', 'volume': 'P-312', 'journal': 'Lecture Notes in Informatics (LNI), Proceedings - Series of the Gesellschaft fur Informatik (GI)', 'year': '2021', 'title': 'DAMA - A transparent meta-assistant for data self-determination in smart environments', 'author': 'Ruff, Christopher and Horch, Andrea and Benthien, Benedict and Loh, Wulf and Orlowski, Alexander', 'ENTRYTYPE': 'conference', 'ID': 'Ruff2021119'}",Scopus
"Renaud, Karen and Shepherd, Lynsay A.",How to make privacy policies both GDPR-compliant and usable,,"It is important for organisations to ensure that their privacy policies are General Data Protection Regulation (GDPR) compliant, and this has to be done by the May 2018 deadline. However, it is also important for these policies to be designed with the needs of the human recipient in mind. We carried out an investigation to find out how best to achieve this.We commenced by synthesising the GDPR requirements into a checklist-type format. We then derived a list of usability design guidelines for privacy notifications from the research literature.We augmented the recommendations with other findings reported in the research literature, in order to confirm the guidelines. We conclude by providing a usable and GDPR-compliant privacy policy template for the benefit of policy writers. © 2018 IEEE.",2018,"2018 International Conference on Cyber Situational Awareness, Data Analytics and Assessment, CyberSA 2018",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059989091&doi=10.1109%2fCyberSA.2018.8551442&partnerID=40&md5=15d153ec45c92ceebbbf9384c58adf72,"{'note': 'All Open Access, Green Open Access', 'source': 'Scopus', 'publication_stage': 'Final', 'type': 'Conference paper', 'language': 'English', 'publisher': 'Institute of Electrical and Electronics Engineers Inc.', 'abstract': 'It is important for organisations to ensure that their privacy policies are General Data Protection Regulation (GDPR) compliant, and this has to be done by the May 2018 deadline. However, it is also important for these policies to be designed with the needs of the human recipient in mind. We carried out an investigation to find out how best to achieve this.We commenced by synthesising the GDPR requirements into a checklist-type format. We then derived a list of usability design guidelines for privacy notifications from the research literature.We augmented the recommendations with other findings reported in the research literature, in order to confirm the guidelines. We conclude by providing a usable and GDPR-compliant privacy policy template for the benefit of policy writers. © 2018 IEEE.', 'affiliations': 'School of Design and Informatics, Abertay University, Dundee, United Kingdom', 'url': 'https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059989091&doi=10.1109%2fCyberSA.2018.8551442&partnerID=40&md5=15d153ec45c92ceebbbf9384c58adf72', 'doi': '10.1109/CyberSA.2018.8551442', 'journal': '2018 International Conference on Cyber Situational Awareness, Data Analytics and Assessment, CyberSA 2018', 'year': '2018', 'title': 'How to make privacy policies both GDPR-compliant and usable', 'author': 'Renaud, Karen and Shepherd, Lynsay A.', 'ENTRYTYPE': 'conference', 'ID': 'Renaud2018'}",Scopus
